.xsc	Microsoft Visual Studio XSC file
.dfd	ABC programming language dyadic functions file
.mk	Makefile file
.mec	Maximus MECCA source file
.airi	Adobe AIR intermediate file
.amw	Alcorn McBride show controller
.bzs	BlueZone script file
.nse	Nmap security scanner scripting engine file
.ino	Arduino sketch
.txl	TXL programming language file
.kmt	Kermeta file
.param	CASTEP scripts file
.master	ASP Master page file
.mscr	CuteFTP script file
.j	Java source code
.ncx	Navigation Control file for XML
.s43	IAR assembly source file
.apb	Alphacam punch VB macro
.fdt	Final Draft script attributes file
.wxi	WiX include file
.nbin	Compiled NASL script file
.vce	Visual CE class type file
.vdproj	Microsoft Visual Studio Visual C++ deployment project file
.cml	Chemical Markup Language document file
.wxl	WiX localization file
.xn	Cygnus ld-scripts file
.scm	GIMP script file
.ebx	Rational Rose 98 compiled script file
.agc	Compiled script file
.f95	Fortran 95 language source code file
.idl	Visual Studio Visual C++ interface definition library file
.pbi	PowerBASIC include file
.rbw	Ruby file
.vddproj	Microsoft Visual Studio deployment project file
.vcp	Microsoft Visual Studio Visual C++ project file
.hlsl	High Level Shader Language source code file
.ocb	Origin precompiled Origin C file
.fsx	Microsoft Visual Studio F# script file
.gsc	Call of Duty script file
.targets	MSBuild targets file
.factorypath	Eclipse factorypath file
.xap	Xbox dashboard script file
.ig	Modula-3 generic interface source
.pjt	Project file (Rational Rose/Visual C++)
.wfs	Microsoft Windows installation script
.lds	Linux compile time header file
.odl	Visual C++ ODL type library source file
.dpd	ABC programming language dyadic predicates file
.devpak	Dev-C++ developer package file
.c++	C++ source code file
.phps	PHP script source code file
.pri	Qt Project include file
.owl	OWL (Obfuscated Weird Language) source code file
.poc	Pocomail PocoScript file
.vup	Microsoft Visual Studio Visual C++ utility project file
.moc	MOCHA Java script file
.vxml	VoiceXML source file
.vssscc	Visual Studio solution source control file
.diff	Diff source file
.smw	SIMPL Windows source file
.aar	Google Android library project file
.cspkg	Microsoft Windows Azure package file
.bpo	DataFlex business process object
.uix	uiXML page file
.bsh	BeanShell script file
.gld	MPLAB C Compiler linker script file
.tsq	ODBC script file
.zsc	EditPad zMUD script file
.lml	LOGML file
.rob	Wintask compiled program file
.gs	Google Apps Script script file
.tk	Tk language script
.bash	Unix Shell Script (bash)
.jav	Java language source code file
.cfi	CleverForm script file
.classpath	Eclipse IDE JAVA project related file
.sl	S-Lang language source code file
.8xk	TI-82 Plus application file
.drc	Delphi resource string file
.vap	Microsoft Visual Studio Analyzer project file
.xblr	Output raw XBRL file
.ahk	AutoHotkey script file
.fcg	FastCGI script file
.ksc	Korg Trinity script file
.swt	Visual Basic Setup Wizard template file
.dfn	Delphi definition file
.php2	PHP version 2 script (HyperText PreProcessor)
.ppo	CA Clipper preprocessor output file
.xcl	XTree for Windows script file
.s4e	Airplay SDK header file
.f90	Intel Fortran 90 language source file
.inc	Include file
.jcs	Java Control Source file
.cg	nVidia CgFX file
.php5	PHP script version 5 (HyperText PreProcessor)
.hxproj	FlashDevelop Flash project file
.bsh	Bash file
.cos	Creatures source code file
.dhtml	Dynamic HTML file
.resources	Microsoft Visual Studio resource file
.nlc	Nero Linux compilation file
.cs	CLEO 3 custom script file
.xaml	Extensible Application Markup Language format
.pickle	Python Pickle file
.wxs	WiX source file
.htr	Microsoft Windows NT password services script file
.ogr	OGR C++ open source library
.g1m	Casio Model 9860 BASIC Program file
.gfe	Grammatical Framework file
.hdf	Hierarchical Data Format file
.mcp	CodeWarrior project file
.mvba	Bentley MicroStation VBA project file
.mpm	Corel WordPerfect MathPlan Macro file
.swg	SWAG Pascal Snippets (SWAG Reader)
.jgs	QWS3270 PLUS script file
.astx	Adobe Story exported script file
.qsc	Kaleidagraph script file
.rule	Visual C++ project rules file
.rrc	BlackBerry Java resource content file
.a	Ada programming language source code file
.gfa	GFA-BASIC tokenized source file
.msil	Microsoft Intermediate Language file
.re	Python Regular Expressions source code file
.twig	Twig source file
.jtb	JTB JavaCC grammar file
.ghp	GitHub Enterprise software package file
.clw	Microsoft Visual C++ MFC Class Wizard information file
.wsdd	Apache Axis Web Service Deployment Descriptor (WSDD) file
.pro	Prolog programming language source code file
.iml	IntelliJ IDEA module file
.tli	Typelib generated C/C++ inline file
.for	Fortran source file
.ilk	Microsoft Visual Studio Linker input file
.xfm	OmniForm XML file format
.cxe	Common XML Envelope file
.ane	Adobe AIR native extension file
.tcz	Tiny Core Linux script file
.xda	Sencha Architect project file
.make	Makefile
.frt	GP-Forth language source code file
.vstemplate	Microsoft Visual Studio project template file
.afb	Alphacam flame VB macro file
.xrc	wxWidgets wxPython resource file
.zws	ZiLOG Developer Studio workspace file
.abap	ABAP source code file
.cbs	Comodo Backup script file
.lnx	Linux specific makefile
.mrs	Corel WordPerfect Macro resource file
.sct	ARM uVision IDE scatter file
.mel	Maya Embedded Language
.c--	Sphinx C-- language source code file
.vc6	Visual C++ make file
.gv	Graphviz DOT language file
.xpb	XPB! Basic source code file
.ev3p	LEGO MINDSTORMS program file
.xin	OmniMark include file
.csp	Crystal Enterprise Crystal Server page file
.nk	NUKE script file
.a51	µVision Assembler source file
.mediawiki	Mediawiki source file
.m6m	Mazatrol language M640M NC unit file
.io	Modula-3 object file
.wsc	Microsoft Windows scripting component file
.bbf	ScriptBasic binary file
.ump	UModel project file
.ide	Borland C++ Project file
.ogl	ATI Overlay source code file
.rvb	Rhinoceros 3D Visual Basic script file
.asax	ASP.NET application optional source file
.dev	Dev-C++ project file
.hpf	High Performance FORTRAN file
.npi	dBASE Application Generator source file
.kon	Yahoo! Widget XML file
.csh	csh script file
.tkp	MicroImages SML script standalone application file
.vbg	Microsoft Visual Basic compatible project group file
.lhs	Literate Haskell programming language source code file
.xui	Xbox 360 skin file
.pl7	PL7-07 application file
.beam	Compiled Erlang Code file
.derp	DERP script file
.hom	CNC10 CNC programming file
.eze	ErZorScript source file
.appxsym	Microsoft Visual Studio Windows 8 application information file
.cpr	INMOS transputer development system occam program code
.ddp	Delphi diagram page from compiler
.mke	Microsoft Windows SDK make file
.sass	Syntactically Awesome Stylesheets indented syntax file
.exp	Microsoft Visual C++ export file
.coverage	Microsoft Visual Studio code coverage file
.sxv	Action Repeater macro file
.zbi	Zebra ZBI-Developer project file
.pspscript	Corel Paint Shop Pro script file
.hoic	HOIC DDoS script file
.awd	AWK language source code file
.pba	PowerBASIC language source code file
.nhs	NHibernate file
.pjx	Visual FoxPro project
.bxp	BasicX-24 basic express compiler module list file
.cgi	Perl file
.ipch	Microsoft Visual C++ Intellisense precompiled header file
.dto	Directory Toolkit output file
.ebs	E-Prime E-Run version 1 script file
.tur	Turing program source code file
.rpj	RealPlayer JavaScript file
.vim	Vim script file
.hxp	haXe project file
.res	Microsoft Linker resource compiler input file
.gls	GLScript file
.iap	Iguana Active Server active page script file
.zpk	Zend Studio deployment application package
.xib	Apple Interface Builder file
.ppml	Personalized Print Markup Language file
.orl	Object-Relational Language file
.phs	PHScript file
.asp+	ASP.NET ASP+ file
.hse	Adobe Dreamweaver snippet file
.rej	Mercurial reject file
.cxs	ConciseXML format file
.maki	Winamp MAKI compiled script file
.bdh	Silk Performer include file
.history	Eclipse IDE local history file
.el	Emacs Lisp programming language source code
.lisp	LISP translators file
.wpm	Corel WordPerfect macro file
.prg	RAPID program file
.fus	GURU uninstall script
.vpc	ViziGen source code file
.ecore	Kermeta ecore diagram file
.fpi	FPS Creator intelligence script file
